value,sensor_id,summary.min,summary.q02,summary.q25,summary.median,summary.q75,summary.q98,summary.max,summary.avg,summary.sd,from_utc_date,from_local_date,to_utc_date,to_local_date,parameter,provider.id,provider.name,id,name,locality
101.0,23320,56.0,62.9,83.75,94.5,122.0,145.56,152.0,101.0,25.60400783844796,2019-12-31,2020-01-01,2020-01-01,2020-01-02,pm25 µg/m³,119,AirNow,8039,Mumbai,India
103.0,23320,40.0,40.0,81.75,107.0,131.25,156.32,160.0,102.95833333333331,36.649312428056206,2020-01-01,2020-01-02,2020-01-02,2020-01-03,pm25 µg/m³,119,AirNow,8039,Mumbai,India
92.9,23320,66.0,66.0,79.75,92.5,103.0,122.0,122.0,92.91666666666669,17.196856807509068,2020-01-02,2020-01-03,2020-01-03,2020-01-04,pm25 µg/m³,119,AirNow,8039,Mumbai,India
89.8,23320,57.0,57.0,70.0,94.5,99.75,126.0,126.0,89.75,20.60445287458198,2020-01-03,2020-01-04,2020-01-04,2020-01-05,pm25 µg/m³,119,AirNow,8039,Mumbai,India
81.3,23320,41.0,41.0,59.5,72.0,102.75,128.0,128.0,81.29166666666667,30.175543173190796,2020-01-04,2020-01-05,2020-01-05,2020-01-06,pm25 µg/m³,119,AirNow,8039,Mumbai,India
63.3,23320,43.0,43.0,57.5,60.0,71.0,85.08,86.0,63.333333333333336,11.48786379153033,2020-01-05,2020-01-06,2020-01-06,2020-01-07,pm25 µg/m³,119,AirNow,8039,Mumbai,India
78.9,23320,55.0,56.38,69.25,74.5,89.25,107.0,107.0,78.91666666666667,16.394369835978466,2020-01-06,2020-01-07,2020-01-07,2020-01-08,pm25 µg/m³,119,AirNow,8039,Mumbai,India
73.0,23320,71.0,71.1,72.0,72.0,74.25,75.9,76.0,73.0,2.0,2020-01-07,2020-01-08,2020-01-08,2020-01-08,pm25 µg/m³,119,AirNow,8039,Mumbai,India
58.0,23320,38.0,38.68,49.0,59.0,68.0,81.0,81.0,58.0,13.69843271412936,2020-01-09,2020-01-09,2020-01-09,2020-01-10,pm25 µg/m³,119,AirNow,8039,Mumbai,India
64.6,23320,49.0,49.0,56.0,61.5,68.25,89.0,89.0,64.58333333333333,12.36726628492808,2020-01-09,2020-01-10,2020-01-10,2020-01-11,pm25 µg/m³,119,AirNow,8039,Mumbai,India
74.3,23320,44.0,44.0,66.0,73.0,82.5,114.0,114.0,74.33333333333333,19.632862128643364,2020-01-10,2020-01-11,2020-01-11,2020-01-12,pm25 µg/m³,119,AirNow,8039,Mumbai,India
81.8,23320,48.0,48.0,58.25,69.5,98.5,137.0,137.0,81.75,29.982966178641583,2020-01-11,2020-01-12,2020-01-12,2020-01-13,pm25 µg/m³,119,AirNow,8039,Mumbai,India
54.7,23320,26.0,26.0,30.0,41.0,68.5,112.0,112.0,54.66666666666666,31.49695177337789,2020-01-12,2020-01-13,2020-01-13,2020-01-14,pm25 µg/m³,119,AirNow,8039,Mumbai,India
35.3,23320,23.0,23.0,30.5,33.0,42.0,54.63999999999999,62.0,35.291666666666664,8.69022022369007,2020-01-13,2020-01-14,2020-01-14,2020-01-15,pm25 µg/m³,119,AirNow,8039,Mumbai,India
31.5,23320,17.0,17.0,25.25,27.5,40.75,45.0,45.0,31.45833333333333,9.708710417507286,2020-01-14,2020-01-15,2020-01-15,2020-01-16,pm25 µg/m³,119,AirNow,8039,Mumbai,India
35.0,23320,17.0,17.0,24.75,29.5,42.75,67.0,67.0,35.0,16.086721502396074,2020-01-15,2020-01-16,2020-01-16,2020-01-17,pm25 µg/m³,119,AirNow,8039,Mumbai,India
29.8,23320,1.0,1.0,2.75,33.5,46.5,64.0,64.0,29.75,22.72376652796343,2020-01-16,2020-01-17,2020-01-17,2020-01-18,pm25 µg/m³,119,AirNow,8039,Mumbai,India
1.0,23320,-1.0,-1.0,0.0,1.0,2.0,3.0,3.0,1.0,1.2510864843424483,2020-01-17,2020-01-18,2020-01-18,2020-01-19,pm25 µg/m³,119,AirNow,8039,Mumbai,India
0.167,23320,-2.0,-2.0,-1.25,0.0,2.0,3.0,3.0,0.1666666666666666,1.8097962092016275,2020-01-18,2020-01-19,2020-01-19,2020-01-20,pm25 µg/m³,119,AirNow,8039,Mumbai,India
79.8,23320,0.0,0.0,62.5,100.0,114.0,124.0,124.0,79.83333333333333,48.1082716079205,2020-01-19,2020-01-20,2020-01-20,2020-01-21,pm25 µg/m³,119,AirNow,8039,Mumbai,India
121.0,23320,63.0,63.0,75.5,115.5,164.25,204.0,204.0,121.0,50.22384675240135,2020-01-20,2020-01-21,2020-01-21,2020-01-22,pm25 µg/m³,119,AirNow,8039,Mumbai,India
103.0,23320,49.0,49.0,85.0,102.5,113.0,179.0,179.0,102.625,36.879135729758,2020-01-21,2020-01-22,2020-01-22,2020-01-23,pm25 µg/m³,119,AirNow,8039,Mumbai,India
106.0,23320,71.0,71.0,83.5,93.5,134.25,147.0,147.0,105.54166666666669,27.772334007639408,2020-01-22,2020-01-23,2020-01-23,2020-01-24,pm25 µg/m³,119,AirNow,8039,Mumbai,India
83.4,23320,64.0,64.0,75.0,86.0,90.0,104.0,104.0,83.41666666666667,12.010562983824103,2020-01-23,2020-01-24,2020-01-24,2020-01-25,pm25 µg/m³,119,AirNow,8039,Mumbai,India
112.0,23320,59.0,59.0,95.0,121.0,129.0,178.0,178.0,112.0,34.2903206015418,2020-01-24,2020-01-25,2020-01-25,2020-01-26,pm25 µg/m³,119,AirNow,8039,Mumbai,India
121.0,23320,61.0,61.0,103.5,121.0,141.0,178.0,178.0,121.04166666666669,32.10916050608918,2020-01-25,2020-01-26,2020-01-26,2020-01-27,pm25 µg/m³,119,AirNow,8039,Mumbai,India
54.1,23320,25.0,25.0,33.25,41.5,70.25,117.08,118.0,54.083333333333336,27.38440791949772,2020-01-26,2020-01-27,2020-01-27,2020-01-28,pm25 µg/m³,119,AirNow,8039,Mumbai,India
-9.13,23320,-999.0,-531.1800000000001,21.0,25.0,42.0,68.0,68.0,-9.125,211.53421195184237,2020-01-27,2020-01-28,2020-01-28,2020-01-29,pm25 µg/m³,119,AirNow,8039,Mumbai,India
