value,coordinates,sensor_id,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,summary.min,summary.q02,summary.q25,summary.median,summary.q75,summary.q98,summary.max,summary.avg,summary.sd,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
101.0,,23320,False,2,pm25,µg/m³,,1 day,24:00:00,2019-12-31T18:30:00Z,2020-01-01T00:00:00+05:30,2020-01-01T18:30:00Z,2020-01-02T00:00:00+05:30,56.0,62.9,83.75,94.5,122.0,145.56,152.0,101.0,25.604007838447956,24,24:00:00,24,24:00:00,100.0,100.0,2019-12-31T18:30:00Z,2020-01-01T00:00:00+05:30,2020-01-01T18:30:00Z,2020-01-02T00:00:00+05:30
103.0,,23320,False,2,pm25,µg/m³,,1 day,24:00:00,2020-01-01T18:30:00Z,2020-01-02T00:00:00+05:30,2020-01-02T18:30:00Z,2020-01-03T00:00:00+05:30,40.0,40.0,81.75,107.0,131.25,156.32,160.0,102.95833333333333,36.649312428056206,24,24:00:00,24,24:00:00,100.0,100.0,2020-01-01T18:30:00Z,2020-01-02T00:00:00+05:30,2020-01-02T18:30:00Z,2020-01-03T00:00:00+05:30
92.9,,23320,False,2,pm25,µg/m³,,1 day,24:00:00,2020-01-02T18:30:00Z,2020-01-03T00:00:00+05:30,2020-01-03T18:30:00Z,2020-01-04T00:00:00+05:30,66.0,66.0,79.75,92.5,103.0,122.0,122.0,92.91666666666667,17.196856807509068,24,24:00:00,24,24:00:00,100.0,100.0,2020-01-02T18:30:00Z,2020-01-03T00:00:00+05:30,2020-01-03T18:30:00Z,2020-01-04T00:00:00+05:30
89.8,,23320,False,2,pm25,µg/m³,,1 day,24:00:00,2020-01-03T18:30:00Z,2020-01-04T00:00:00+05:30,2020-01-04T18:30:00Z,2020-01-05T00:00:00+05:30,57.0,57.0,70.0,94.5,99.75,126.0,126.0,89.75,20.60445287458198,24,24:00:00,24,24:00:00,100.0,100.0,2020-01-03T18:30:00Z,2020-01-04T00:00:00+05:30,2020-01-04T18:30:00Z,2020-01-05T00:00:00+05:30
81.3,,23320,False,2,pm25,µg/m³,,1 day,24:00:00,2020-01-04T18:30:00Z,2020-01-05T00:00:00+05:30,2020-01-05T18:30:00Z,2020-01-06T00:00:00+05:30,41.0,41.0,59.5,72.0,102.75,128.0,128.0,81.29166666666667,30.175543173190793,24,24:00:00,24,24:00:00,100.0,100.0,2020-01-04T18:30:00Z,2020-01-05T00:00:00+05:30,2020-01-05T18:30:00Z,2020-01-06T00:00:00+05:30
63.3,,23320,False,2,pm25,µg/m³,,1 day,24:00:00,2020-01-05T18:30:00Z,2020-01-06T00:00:00+05:30,2020-01-06T18:30:00Z,2020-01-07T00:00:00+05:30,43.0,43.0,57.5,60.0,71.0,85.08,86.0,63.333333333333336,11.48786379153033,24,24:00:00,24,24:00:00,100.0,100.0,2020-01-05T18:30:00Z,2020-01-06T00:00:00+05:30,2020-01-06T18:30:00Z,2020-01-07T00:00:00+05:30
78.9,,23320,False,2,pm25,µg/m³,,1 day,24:00:00,2020-01-06T18:30:00Z,2020-01-07T00:00:00+05:30,2020-01-07T18:30:00Z,2020-01-08T00:00:00+05:30,55.0,56.38,69.25,74.5,89.25,107.0,107.0,78.91666666666667,16.394369835978466,24,24:00:00,24,24:00:00,100.0,100.0,2020-01-06T18:30:00Z,2020-01-07T00:00:00+05:30,2020-01-07T18:30:00Z,2020-01-08T00:00:00+05:30
73.0,,23320,False,2,pm25,µg/m³,,1 day,24:00:00,2020-01-07T18:30:00Z,2020-01-08T00:00:00+05:30,2020-01-08T18:30:00Z,2020-01-09T00:00:00+05:30,71.0,71.1,72.0,72.0,74.25,75.9,76.0,73.0,2.0,24,24:00:00,6,06:00:00,25.0,25.0,2020-01-07T18:30:00Z,2020-01-08T00:00:00+05:30,2020-01-08T00:30:00Z,2020-01-08T06:00:00+05:30
58.0,,23320,False,2,pm25,µg/m³,,1 day,24:00:00,2020-01-08T18:30:00Z,2020-01-09T00:00:00+05:30,2020-01-09T18:30:00Z,2020-01-10T00:00:00+05:30,38.0,38.68,49.0,59.0,68.0,81.0,81.0,58.0,13.698432714129359,24,24:00:00,18,18:00:00,75.0,75.0,2020-01-09T00:30:00Z,2020-01-09T06:00:00+05:30,2020-01-09T18:30:00Z,2020-01-10T00:00:00+05:30
64.6,,23320,False,2,pm25,µg/m³,,1 day,24:00:00,2020-01-09T18:30:00Z,2020-01-10T00:00:00+05:30,2020-01-10T18:30:00Z,2020-01-11T00:00:00+05:30,49.0,49.0,56.0,61.5,68.25,89.0,89.0,64.58333333333333,12.36726628492808,24,24:00:00,24,24:00:00,100.0,100.0,2020-01-09T18:30:00Z,2020-01-10T00:00:00+05:30,2020-01-10T18:30:00Z,2020-01-11T00:00:00+05:30
74.3,,23320,False,2,pm25,µg/m³,,1 day,24:00:00,2020-01-10T18:30:00Z,2020-01-11T00:00:00+05:30,2020-01-11T18:30:00Z,2020-01-12T00:00:00+05:30,44.0,44.0,66.0,73.0,82.5,114.0,114.0,74.33333333333333,19.632862128643364,24,24:00:00,24,24:00:00,100.0,100.0,2020-01-10T18:30:00Z,2020-01-11T00:00:00+05:30,2020-01-11T18:30:00Z,2020-01-12T00:00:00+05:30
81.8,,23320,False,2,pm25,µg/m³,,1 day,24:00:00,2020-01-11T18:30:00Z,2020-01-12T00:00:00+05:30,2020-01-12T18:30:00Z,2020-01-13T00:00:00+05:30,48.0,48.0,58.25,69.5,98.5,137.0,137.0,81.75,29.982966178641586,24,24:00:00,24,24:00:00,100.0,100.0,2020-01-11T18:30:00Z,2020-01-12T00:00:00+05:30,2020-01-12T18:30:00Z,2020-01-13T00:00:00+05:30
54.7,,23320,False,2,pm25,µg/m³,,1 day,24:00:00,2020-01-12T18:30:00Z,2020-01-13T00:00:00+05:30,2020-01-13T18:30:00Z,2020-01-14T00:00:00+05:30,26.0,26.0,30.0,41.0,68.5,112.0,112.0,54.666666666666664,31.496951773377894,24,24:00:00,24,24:00:00,100.0,100.0,2020-01-12T18:30:00Z,2020-01-13T00:00:00+05:30,2020-01-13T18:30:00Z,2020-01-14T00:00:00+05:30
