to_local_date,value,sensor_id,summary.min,summary.q02,summary.q25,summary.median,summary.q75,summary.q98,summary.max,summary.avg,summary.sd,provider.id,id
2020-01-02,41.8,24857.0,29.0,29.0,34.75,39.5,43.5,65.32,69.0,41.833333333333336,11.051919631278174,119.0,8557.0
2020-01-03,27.7,24857.0,15.0,15.0,23.0,25.0,30.25,44.0,44.0,27.70833333333333,8.745081433317951,119.0,8557.0
2020-01-04,36.6,24857.0,25.0,25.0,30.0,34.5,41.25,59.0,59.0,36.583333333333336,9.969155328863849,119.0,8557.0
2020-01-05,54.7,24857.0,38.0,38.0,47.25,54.5,60.5,72.0,72.0,54.66666666666666,9.69386478618067,119.0,8557.0
2020-01-06,62.8,24857.0,49.0,49.0,54.5,63.5,68.0,79.0,79.0,62.75,9.414373839114775,119.0,8557.0
2020-01-07,55.5,24857.0,47.0,47.0,49.75,55.5,60.0,68.0,68.0,55.458333333333336,6.600258009888814,119.0,8557.0
2020-01-08,46.3,24857.0,34.0,34.05,41.5,46.75,52.125,54.5,54.5,46.3125,6.6259519378736025,119.0,8557.0
2020-01-09,49.0,,33.0,33.025,40.25,48.875,55.5625,71.25,71.25,48.98958333333333,12.177976549541274,,
2020-01-10,51.7,24857.0,32.0,32.0,39.0,51.0,59.0,88.0,88.0,51.66666666666666,17.730001161208946,119.0,8557.0
2020-01-11,71.4,24857.0,63.0,63.0,65.5,69.5,76.25,91.0,91.0,71.41666666666667,8.01583577603769,119.0,8557.0
2020-01-12,78.9,24857.0,61.0,61.0,66.5,76.5,91.25,105.0,105.0,78.91666666666667,13.896876929936347,119.0,8557.0
2020-01-13,72.5,24857.0,44.0,44.0,64.0,77.0,82.5,103.0,103.0,72.5,18.35163776603201,119.0,8557.0
2020-01-14,93.3,24857.0,43.0,43.0,68.75,95.0,112.0,153.0,153.0,93.25,32.79481666361317,119.0,8557.0
2020-01-15,90.0,24857.0,42.0,42.0,66.75,91.0,102.0,158.91999999999996,181.0,90.0,33.12558449033144,119.0,8557.0
2020-01-16,48.3,24857.0,23.0,23.0,33.75,55.0,57.0,68.24,71.0,48.25,14.632453507603362,119.0,8557.0
2020-01-17,38.6,24857.0,23.0,23.0,31.0,39.5,43.25,61.0,61.0,38.583333333333336,11.029275929825667,119.0,8557.0
2020-01-18,28.7,24857.0,18.0,18.0,24.0,26.5,36.0,40.0,40.0,28.666666666666668,6.793005780671167,119.0,8557.0
2020-01-19,31.5,24857.0,24.0,24.0,24.75,27.0,36.25,48.0,48.0,31.5,9.084147683213589,119.0,8557.0
2020-01-20,34.0,24857.0,24.0,24.0,28.75,31.5,36.5,56.0,56.0,34.0,8.423569417956406,119.0,8557.0
2020-01-21,41.1,24857.0,26.0,26.0,33.25,41.5,46.75,58.0,58.0,41.083333333333336,10.52911766676485,119.0,8557.0
