to_local_date,value,sensor_id,summary.min,summary.q02,summary.q25,summary.median,summary.q75,summary.q98,summary.max,summary.avg,summary.sd,provider.id,id
2020-01-02,101.0,23320.0,56.0,62.9,83.75,94.5,122.0,145.56,152.0,101.0,25.60400783844796,119.0,8039.0
2020-01-03,103.0,23320.0,40.0,40.0,81.75,107.0,131.25,156.32,160.0,102.95833333333331,36.649312428056206,119.0,8039.0
2020-01-04,92.9,23320.0,66.0,66.0,79.75,92.5,103.0,122.0,122.0,92.91666666666669,17.196856807509068,119.0,8039.0
2020-01-05,89.8,23320.0,57.0,57.0,70.0,94.5,99.75,126.0,126.0,89.75,20.60445287458198,119.0,8039.0
2020-01-06,81.3,23320.0,41.0,41.0,59.5,72.0,102.75,128.0,128.0,81.29166666666667,30.1755431731908,119.0,8039.0
2020-01-07,63.3,23320.0,43.0,43.0,57.5,60.0,71.0,85.08,86.0,63.333333333333336,11.48786379153033,119.0,8039.0
2020-01-08,75.95,23320.0,63.0,63.739999999999995,70.625,73.25,81.75,91.45,91.5,75.95833333333334,9.197184917989233,119.0,8039.0
2020-01-09,66.975,,50.5,51.209999999999994,59.8125,66.125,74.875,86.225,86.25,66.97916666666667,11.447808816059297,,
2020-01-10,58.0,23320.0,38.0,38.68,49.0,59.0,68.0,81.0,81.0,58.0,13.69843271412936,119.0,8039.0
2020-01-11,64.6,23320.0,49.0,49.0,56.0,61.5,68.25,89.0,89.0,64.58333333333333,12.36726628492808,119.0,8039.0
2020-01-12,74.3,23320.0,44.0,44.0,66.0,73.0,82.5,114.0,114.0,74.33333333333333,19.632862128643364,119.0,8039.0
2020-01-13,81.8,23320.0,48.0,48.0,58.25,69.5,98.5,137.0,137.0,81.75,29.982966178641583,119.0,8039.0
2020-01-14,54.7,23320.0,26.0,26.0,30.0,41.0,68.5,112.0,112.0,54.66666666666666,31.49695177337789,119.0,8039.0
2020-01-15,35.3,23320.0,23.0,23.0,30.5,33.0,42.0,54.63999999999999,62.0,35.291666666666664,8.69022022369007,119.0,8039.0
2020-01-16,31.5,23320.0,17.0,17.0,25.25,27.5,40.75,45.0,45.0,31.45833333333333,9.708710417507286,119.0,8039.0
2020-01-17,35.0,23320.0,17.0,17.0,24.75,29.5,42.75,67.0,67.0,35.0,16.086721502396074,119.0,8039.0
2020-01-18,29.8,23320.0,1.0,1.0,2.75,33.5,46.5,64.0,64.0,29.75,22.72376652796343,119.0,8039.0
2020-01-19,1.0,23320.0,24.0,24.0,0.0,1.0,2.0,3.0,3.0,1.0,1.2510864843424483,119.0,8039.0
2020-01-20,0.167,23320.0,89.0,89.0,28.75,0.0,2.0,3.0,3.0,0.1666666666666666,1.8097962092016275,119.0,8039.0
2020-01-21,79.8,23320.0,0.0,0.0,62.5,100.0,114.0,124.0,124.0,79.83333333333333,48.1082716079205,119.0,8039.0
2020-01-22,121.0,23320.0,63.0,63.0,75.5,115.5,164.25,204.0,204.0,121.0,50.22384675240135,119.0,8039.0
2020-01-23,103.0,23320.0,49.0,49.0,85.0,102.5,113.0,179.0,179.0,102.625,36.879135729758,119.0,8039.0
2020-01-24,106.0,23320.0,71.0,71.0,83.5,93.5,134.25,147.0,147.0,105.54166666666669,27.772334007639408,119.0,8039.0
2020-01-25,83.4,23320.0,64.0,64.0,75.0,86.0,90.0,104.0,104.0,83.41666666666667,12.010562983824103,119.0,8039.0
2020-01-26,112.0,23320.0,59.0,59.0,95.0,121.0,129.0,178.0,178.0,112.0,34.2903206015418,119.0,8039.0
2020-01-27,121.0,23320.0,61.0,61.0,103.5,121.0,141.0,178.0,178.0,121.04166666666669,32.10916050608918,119.0,8039.0
2020-01-28,54.1,23320.0,25.0,25.0,33.25,41.5,70.25,117.08,118.0,54.083333333333336,27.38440791949772,119.0,8039.0
2020-01-29,57.3,23320.0,75.0,75.0,21.0,25.0,42.0,68.0,68.0,57.333333333333336,211.5342119518424,119.0,8039.0
2020-01-30,30.9,23320.0,19.0,19.0,23.25,31.5,35.0,51.0,51.0,30.875,9.02321884145949,119.0,8039.0
2020-01-31,70.1,23320.0,31.0,38.36,53.25,68.0,83.5,103.48,109.0,70.08333333333333,19.818561055708376,119.0,8039.0
2020-02-01,85.3,23320.0,53.0,53.0,63.25,74.0,93.5,172.0,172.0,85.25,35.34211676443991,119.0,8039.0
2020-02-02,94.7,23320.0,68.0,68.0,76.0,98.0,110.0,131.0,131.0,94.70833333333331,22.193769526538333,119.0,8039.0
2020-02-03,101.0,23320.0,61.0,61.0,76.0,84.5,131.25,151.0,151.0,100.625,31.95079436993023,119.0,8039.0
2020-02-04,102.0,23320.0,57.0,57.0,70.5,100.0,129.5,164.0,164.0,101.58333333333331,36.68421846050384,119.0,8039.0
2020-02-05,90.7,23320.0,48.0,48.0,79.25,96.5,102.0,124.0,124.0,90.70833333333331,21.365309482321155,119.0,8039.0
2020-02-06,82.3,23320.0,46.0,46.0,68.75,83.0,97.75,114.0,114.0,82.33333333333333,22.00526946115341,119.0,8039.0
2020-02-07,63.5,23320.0,50.5,50.5,54.0,59.0,71.625,89.0,89.0,63.52083333333333,12.993198387714457,119.0,8039.0
2020-02-08,74.75,,54.25,54.25,64.5,69.5,83.3125,106.5,106.5,74.76041666666666,16.636792949982635,,
2020-02-09,86.0,23320.0,58.0,58.0,75.0,80.0,95.0,124.0,124.0,86.0,20.28038751225081,119.0,8039.0
2020-02-10,85.3,23320.0,63.0,63.0,76.75,87.5,93.25,110.0,110.0,85.33333333333333,13.707080577971904,119.0,8039.0
2020-02-11,71.7,23320.0,44.0,44.0,66.25,71.0,75.0,108.0,108.0,71.66666666666667,14.448308661860937,119.0,8039.0
2020-02-12,74.5,23320.0,50.0,50.0,68.25,72.5,86.75,97.0,97.0,74.5,14.095944529328747,119.0,8039.0
2020-02-13,79.3,23320.0,65.0,65.46,69.75,81.0,83.0,100.0,100.0,79.29166666666667,10.3481952497784,119.0,8039.0
2020-02-14,83.0,23320.0,58.0,58.0,68.5,82.5,98.5,105.0,105.0,83.0,15.956462504332654,119.0,8039.0
2020-02-15,73.8,23320.0,50.0,50.0,58.75,73.0,87.25,107.0,107.0,73.83333333333333,17.071885524520095,119.0,8039.0
2020-02-16,65.3,23320.0,39.0,39.0,50.5,59.5,81.75,109.0,109.0,65.25,20.864469486582248,119.0,8039.0
2020-02-17,88.9,23320.0,51.0,51.0,76.5,91.5,101.75,127.0,127.0,88.91666666666667,23.35904380611997,119.0,8039.0
2020-02-18,124.0,23320.0,88.0,88.0,99.0,111.5,155.25,168.0,168.0,124.08333333333331,29.359713105260216,119.0,8039.0
2020-02-19,109.0,23320.0,65.0,65.0,86.75,103.5,134.25,151.0,151.0,108.75,27.46737194817026,119.0,8039.0
2020-02-20,120.0,23320.0,77.0,77.0,82.75,104.0,150.75,193.0,193.0,119.58333333333331,41.565994322979584,119.0,8039.0
2020-02-21,76.9,23320.0,40.0,40.0,45.0,74.0,92.75,170.0,170.0,76.91666666666667,37.471051628489526,119.0,8039.0
2020-02-22,50.3,23320.0,35.0,35.0,43.5,49.0,54.75,73.0,73.0,50.25,10.625031969261368,119.0,8039.0
2020-02-23,85.7,23320.0,58.0,58.0,70.25,83.0,103.5,120.0,120.0,85.66666666666667,19.98840243451332,119.0,8039.0
2020-02-24,102.0,23320.0,47.0,47.0,69.75,115.0,134.75,143.0,143.0,101.83333333333331,34.8258607892202,119.0,8039.0
2020-02-25,111.0,23320.0,84.0,84.0,93.75,106.5,126.5,167.99999999999994,191.0,111.125,24.839156500416312,119.0,8039.0
2020-02-26,153.0,23320.0,48.0,48.0,41.0,46.5,56.75,162.01999999999995,191.0,152.875,470.7389484721821,119.0,8039.0
2020-02-27,51.8,23320.0,57.0,43.0,45.75,42.5,56.5,62.08,63.0,51.79166666666666,530.1942971719171,119.0,8039.0
2020-02-28,70.0,23320.0,34.0,34.0,63.0,69.0,77.0,111.0,111.0,70.0,17.99758437897322,119.0,8039.0
2020-02-29,101.0,23320.0,50.0,50.0,81.25,89.0,132.0,142.01999999999998,148.0,101.45833333333331,31.26461976860365,119.0,8039.0
2020-03-01,94.8,23320.0,37.0,37.0,44.75,101.0,135.75,158.0,158.0,94.79166666666669,46.6503918308412,119.0,8039.0
2020-03-02,53.8,23320.0,42.0,42.0,49.75,54.0,57.0,68.32,72.0,53.79166666666666,6.782196429313817,119.0,8039.0
2020-03-03,72.3,23320.0,44.0,44.0,48.5,67.0,89.75,122.0,122.0,72.25,26.01546362888978,119.0,8039.0
2020-03-04,51.5,23320.0,41.0,41.0,47.0,49.0,54.75,75.0,75.0,51.5,9.131883942967416,119.0,8039.0
2020-03-05,45.6,23320.0,34.0,34.46,39.0,42.0,45.25,74.0,74.0,45.583333333333336,12.1688006863835,119.0,8039.0
2020-03-06,47.9,23320.0,25.0,26.38,36.25,46.5,52.5,84.0,84.0,47.875,17.97416624419372,119.0,8039.0
2020-03-07,51.45,23320.0,13.0,13.46,24.0,30.0,33.0,50.47999999999999,56.0,51.4375,290.9459335201028,119.0,8039.0
2020-03-08,37.95,23320.0,28.0,28.2,36.125,39.5,41.75,46.120000000000005,47.5,37.9375,5.574922525890771,119.0,8039.0
2020-03-09,55.125,,33.0,33.1,38.5625,52.75,64.375,85.06,85.75,55.135416666666664,18.86265223244501,,
2020-03-10,72.3,23320.0,38.0,38.0,41.0,66.0,87.0,124.0,124.0,72.33333333333333,32.15038193899925,119.0,8039.0
2020-03-11,54.9,23320.0,17.0,17.46,24.5,33.0,89.0,120.4,125.0,54.875,37.6624741157792,119.0,8039.0
2020-03-12,21.9,23320.0,15.0,15.0,18.0,23.0,25.0,28.08,29.0,21.916666666666668,4.353076539910462,119.0,8039.0
2020-03-13,28.4,23320.0,16.0,16.46,20.0,22.0,28.5,64.0,64.0,28.375,14.47280057631346,119.0,8039.0
2020-03-14,57.8,23320.0,17.0,17.0,24.0,32.5,48.0,54.85999999999999,59.0,57.833333333333336,350.2496831971589,119.0,8039.0
2020-03-15,46.8,23320.0,29.0,29.0,36.5,46.0,59.0,71.0,71.0,46.79166666666666,12.94798680563278,119.0,8039.0
2020-03-16,71.1,23320.0,42.0,46.6,59.0,62.5,89.0,99.54,100.0,71.08333333333333,18.10576815768141,119.0,8039.0
2020-03-17,86.6,23320.0,54.0,54.0,69.5,85.5,104.0,116.24,119.0,86.625,20.56128168057201,119.0,8039.0
2020-03-18,107.0,23320.0,58.0,59.38,65.0,99.0,149.0,164.0,164.0,107.125,40.43170570340752,119.0,8039.0
2020-03-19,67.4,23320.0,37.0,38.38,46.5,60.5,84.0,109.1,116.0,67.375,22.98357163752821,119.0,8039.0
2020-03-20,42.3,23320.0,22.0,22.0,26.0,36.0,55.0,82.33999999999997,92.0,42.333333333333336,19.23915090476272,119.0,8039.0
2020-03-21,29.3,23320.0,19.0,19.0,20.25,24.5,27.0,47.73999999999997,62.0,29.33333333333333,209.3191819388186,119.0,8039.0
2020-03-22,27.7,23320.0,14.0,15.38,19.0,23.0,30.0,54.31999999999999,58.0,27.666666666666668,12.006037128721196,119.0,8039.0
2020-03-23,27.6,23320.0,11.0,11.0,23.5,28.0,33.25,40.16,42.0,27.58333333333333,7.901109810139589,119.0,8039.0
2020-03-24,34.9,23320.0,21.0,21.38,25.5,38.0,43.25,49.96000000000001,53.0,34.85,10.038216448836128,119.0,8039.0
2020-03-25,48.8,23320.0,36.0,36.0,41.75,48.0,51.5,78.0,78.0,48.833333333333336,11.008560568807416,119.0,8039.0
2020-03-26,41.0,23320.0,30.0,30.0,35.75,39.5,42.0,65.0,65.0,40.958333333333336,9.7064710224749,119.0,8039.0
2020-03-27,38.8,23320.0,31.0,31.0,33.0,38.0,42.5,54.0,54.0,38.833333333333336,6.9072530667072165,119.0,8039.0
