to_local_date,value,sensor_id,summary.min,summary.q02,summary.q25,summary.median,summary.q75,summary.q98,summary.max,summary.avg,summary.sd,provider.id,id
2020-01-02,320.0,23534.0,114.0,116.3,190.0,344.5,429.25,633.1999999999999,647.0,319.5,162.65915283192643,119.0,8118.0
2020-01-03,287.0,23534.0,89.0,89.0,133.5,271.5,334.0,643.0,643.0,286.7916666666667,176.5318001077295,119.0,8118.0
2020-01-04,223.0,23534.0,37.0,37.0,105.5,231.0,320.75,449.0,449.0,223.3333333333333,143.66890277018337,119.0,8118.0
2020-01-05,207.0,23534.0,111.0,111.0,140.25,219.5,250.5,304.0,304.0,206.66666666666663,66.78106127434286,119.0,8118.0
2020-01-06,159.0,23534.0,67.0,67.0,135.0,175.5,198.25,212.0,212.0,159.41666666666666,48.90266878701768,119.0,8118.0
2020-01-07,148.0,23534.0,88.0,88.0,118.0,157.0,183.25,204.0,204.0,147.58333333333334,38.85750631604464,119.0,8118.0
2020-01-08,111.5,23534.0,89.0,89.1,96.5,110.5,124.125,141.64999999999998,150.0,111.47916666666669,17.139959344890315,119.0,8118.0
2020-01-09,109.25,,82.0,82.05,94.75,104.75,122.5625,146.325,150.5,109.40625,20.21674140365308,,
2020-01-10,107.0,23534.0,75.0,75.0,93.0,99.0,121.0,151.0,151.0,107.33333333333331,23.29352346241585,119.0,8118.0
2020-01-11,143.0,23534.0,92.0,92.0,106.25,146.0,153.5,225.0,225.0,142.91666666666666,44.02658946262071,119.0,8118.0
2020-01-12,158.0,23534.0,68.0,68.0,129.5,159.0,180.0,276.0,276.0,158.41666666666666,55.32113101005695,119.0,8118.0
2020-01-13,193.0,23534.0,70.0,70.0,127.5,220.5,246.0,305.0,305.0,192.91666666666663,79.80024881004398,119.0,8118.0
2020-01-14,215.0,23534.0,135.0,135.0,167.0,186.0,283.0,328.0,328.0,214.91666666666663,68.44541885560231,119.0,8118.0
