horizon,mse,rmse,mae,mape,mdape,smape,coverage
9 days,1952.4648444498862,44.186704385481,41.24881529187905,2.4428950439682575,1.9629335720532646,0.9345634151604053,0.1111111111111111
10 days,1688.2710897853256,41.08857614696968,35.97110866181585,2.226838781838855,1.5092837981856209,0.8265580654911789,0.2222222222222222
11 days,1875.6941417744,43.3092847063352,38.33517454181302,2.4973577009717385,2.420762377778649,0.9050965617641433,0.2222222222222222
12 days,1986.69107600123,44.57231288592987,41.49931013161472,2.601751137369422,2.420762377778649,0.9733225448305198,0.1111111111111111
13 days,1752.645926070162,41.86461424723942,37.93242770463869,2.371266456631375,1.5092837981856209,0.8844428021890836,0.2222222222222222
14 days,1391.1631611913983,37.29829970912077,32.47423546344666,1.6033589103261503,1.3494737246988684,0.7250541532173225,0.3333333333333333
15 days,1424.7138083784603,37.74538128537663,32.89380142615507,1.622848290169675,1.5092837981856209,0.7316570928723086,0.3333333333333333
16 days,1305.9869576860433,36.13844155032205,30.988589967628766,1.5103026980892207,0.987931438030945,0.6802692447556546,0.4444444444444444
17 days,987.9489683487316,31.431655513967627,25.30710577946612,1.1295995979009372,0.49637346946153243,0.5432379793437444,0.5555555555555556
18 days,685.8239615427774,26.188240902030387,19.8533980926302,0.7438589765668568,0.3464002511362241,0.40676290503963647,0.6666666666666666
19 days,687.1928239427798,26.214362932232014,20.126327537557554,0.7483960506127344,0.3464002511362241,0.4110914508350059,0.6666666666666666
20 days,406.4719363069215,20.16114918120794,14.672124518796295,0.4032870607873472,0.11530673120763396,0.27756200797528746,0.7777777777777778
21 days,401.2276014699734,20.030666525854137,14.588623196444736,0.3835479473768182,0.11530673120763396,0.2681589848714913,0.7777777777777778
22 days,370.25352697972824,19.241973053190993,12.885192046784951,0.3472625559632428,0.059260879301536167,0.2375340963083717,0.7777777777777778
23 days,399.4210648401276,19.98552138024244,13.970597515762217,0.3721473329868697,0.059260879301536167,0.2561678049297761,0.7777777777777778
24 days,379.7075765058793,19.48608674172111,13.728910057103262,0.33055998767199524,0.059260879301536167,0.24118873282920678,0.7777777777777778
25 days,462.9449316085555,21.516155130704824,15.162295650246985,0.3803163620643007,0.059260879301536167,0.2682678610078051,0.6666666666666666
26 days,658.1105536030625,25.653665500334693,19.557644594665632,0.536516688614729,0.3392697244202762,0.35747722860959086,0.5555555555555556
27 days,911.0027889782284,30.18282274702332,24.519284642899677,0.7447268413547543,0.8102794173361835,0.4611513906301311,0.4444444444444444
28 days,1320.709337875097,36.341564879282465,30.864010927849247,1.1051917179965474,0.9441808389922814,0.5931755848997998,0.3333333333333333
29 days,1530.014424197841,39.1153988116936,35.5560123910341,1.2463429764669092,1.1505920354567203,0.678279119307781,0.2222222222222222
30 days,2211.9319091161237,47.031180179920256,41.47091536597055,1.2148113320782936,1.1505920354567203,0.6936081346920792,0.2222222222222222
31 days,2502.963455923239,50.02962578236259,47.001201738036926,1.4307071002042766,1.2880631857050255,0.8014969723603756,0.1111111111111111
32 days,2611.953551939374,51.107274941434454,48.997177706566696,1.4951839209276259,1.2880631857050255,0.8392599069111601,0.0
33 days,2902.7681081430587,53.87734318007022,51.78144429468309,2.2015281168759695,1.4393297138796477,0.9335810808825672,0.0
34 days,2820.3576048854834,53.10703912745921,50.36629775704577,2.145502603710239,1.4393297138796477,0.9023849877278691,0.1111111111111111
35 days,2626.393241659168,51.248348672510105,46.15557913515662,1.9920060172007004,1.2880631857050255,0.8156350874770779,0.2222222222222222
36 days,2373.6921520685114,48.720551639616225,41.22300487114481,1.7831081751674454,0.9195611109304201,0.711499461813037,0.3333333333333333
37 days,1971.1501365991935,44.39763661051333,35.44723483368138,1.4306825100680156,0.5264946178386419,0.5868010422633336,0.4444444444444444
38 days,2562.9610182035335,50.625695236742516,40.058552341395966,1.3457638614293754,0.5237953479572647,0.5785980459048106,0.4444444444444444
39 days,1775.7182593455375,42.13927217389424,31.12285581559,1.2926593416358145,0.43995122050070756,0.5047254774175567,0.5555555555555556
40 days,1641.9932515964717,40.52151590940881,29.61783168507411,1.194667199568232,0.43995122050070756,0.4726219945506159,0.5555555555555556
41 days,1521.982535015864,39.01259456913708,27.294812406900785,1.1117815136754547,0.1735899378954232,0.4237506190026732,0.6666666666666666
42 days,1059.5907482376083,32.55135555146065,20.723866370190848,0.2855207886690685,0.13161378318280545,0.25649444460455495,0.7777777777777778
43 days,1002.265590905868,31.658578472601512,18.336604245574158,0.2385137640281938,0.071343273934335,0.21828595867065037,0.7777777777777778
44 days,1000.768259550156,31.63492151958269,18.081680996122984,0.23470705848921503,0.071343273934335,0.2146913261562045,0.7777777777777778
45 days,999.4707210879808,31.61440685965784,17.713661050512638,0.23019693229360907,0.071343273934335,0.210081139194824,0.7777777777777778
46 days,1125.6694418629877,33.55099762843108,20.601354256815153,0.3176852655909499,0.071343273934335,0.26632384587070074,0.6666666666666666
47 days,393.5882512490192,19.839058728906956,13.93849217493186,0.3212163008534726,0.071343273934335,0.2357841696824627,0.7777777777777778
48 days,461.5596781797545,21.483940005961536,16.292927085978278,0.37700008434681986,0.1735899378954232,0.27822688678090235,0.7777777777777778
49 days,579.6015777023251,24.074915943826785,17.64267309433324,0.5268187109628796,0.1735899378954232,0.32214067405533214,0.7777777777777778
50 days,858.6871687391964,29.30336446108529,21.7589361472093,0.7871231683938101,0.5506079911367198,0.4248336139090244,0.6666666666666666
51 days,856.1350160480797,29.259784962437433,21.46014019966063,0.7839599094796197,0.5506079911367198,0.42127714722468423,0.6666666666666666
52 days,878.2068806346889,29.634555516064164,22.892025993084946,0.8003307345239095,0.5506079911367198,0.43929605549148776,0.6666666666666666
53 days,878.6249282842524,29.641608058340093,22.98641749054143,0.80206900941389,0.5506079911367198,0.44091910200475665,0.6666666666666666
54 days,964.780019937613,31.060908227828964,26.068568632578835,0.8809069520876703,0.5555746653199682,0.499039774074049,0.6666666666666666
55 days,829.8930419249967,28.80786423747857,22.251643741383198,0.7795993907939871,0.5506079911367198,0.42988368774288377,0.7777777777777778
56 days,769.9640727754937,27.74822647982198,20.493435400604998,0.7311089478046457,0.1642254241314437,0.3956521096148508,0.7777777777777778
57 days,705.6322034326636,26.563738506329706,18.478136830982297,0.6798272980559932,0.11916067841589678,0.3580386211623443,0.7777777777777778
58 days,464.4977229995632,21.552209237095934,14.900844391879055,0.4483838677595642,0.11916067841589678,0.26895959490334054,0.8888888888888888
59 days,259.87958459745084,16.12078114104434,12.421658713913226,0.2541217753524483,0.11916067841589678,0.20680105418813832,1.0
60 days,289.021795717735,17.000641038435433,13.92511854581383,0.28947326317155575,0.1642254241314437,0.2361183064647269,1.0
61 days,339.2279824410175,18.41814275221629,15.19017230430505,0.34421274968141546,0.3463411298163278,0.27118035226016013,1.0
62 days,350.37655123301175,18.718347983543094,16.047893894810638,0.36087444690660164,0.3463411298163278,0.28610913887999617,1.0
63 days,290.14013992418256,17.033500518806537,14.650933455388927,0.3030144426999663,0.19022510706488868,0.2511879066097732,1.0
64 days,394.6300007631674,19.865296392532567,18.003892166917137,0.39328654378406547,0.3463411298163278,0.31498091967504754,0.8888888888888888
65 days,649.5668165210745,25.48660072510798,22.407449026693413,0.6918782747776921,0.36103733407858796,0.4306566000803344,0.7777777777777778
66 days,942.7461130167236,30.70417093843642,27.40030431133012,0.7303901153836264,0.43567970885225504,0.4821894930821091,0.6666666666666666
67 days,1124.3799378119725,33.531775047139575,30.34393460280466,0.924310121893806,0.6568808027201812,0.5629866419553102,0.5555555555555556
68 days,1191.655005311658,34.520356390275836,31.318976297345785,1.0218665090119585,0.6568808027201812,0.601653599447452,0.4444444444444444
69 days,1343.9335280254136,36.65969896255851,33.991896267185126,1.1785384500275684,0.8196896409726171,0.6720389150040085,0.3333333333333333
70 days,1355.0175275962533,36.81056271773434,34.2012012014024,1.1899858300087311,0.8196896409726171,0.6782834418410231,0.3333333333333333
