ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ashura,Ashura_lower,Ashura_upper,Buddha Purnima,Buddha Purnima_lower,Buddha Purnima_upper,Christmas,Christmas_lower,Christmas_upper,Diwali,Diwali_lower,Diwali_upper,Dussehra,Dussehra_lower,Dussehra_upper,Eid al-Adha,Eid al-Adha_lower,Eid al-Adha_upper,Eid al-Fitr,Eid al-Fitr_lower,Eid al-Fitr_upper,Gandhi Jayanti,Gandhi Jayanti_lower,Gandhi Jayanti_upper,Good Friday,Good Friday_lower,Good Friday_upper,Guru Nanak Jayanti,Guru Nanak Jayanti_lower,Guru Nanak Jayanti_upper,Independence Day,Independence Day_lower,Independence Day_upper,Janmashtami,Janmashtami_lower,Janmashtami_upper,Maha Shivaratri,Maha Shivaratri_lower,Maha Shivaratri_upper,Mahavir Jayanti,Mahavir Jayanti_lower,Mahavir Jayanti_upper,Prophet's Birthday,Prophet's Birthday_lower,Prophet's Birthday_upper,Republic Day,Republic Day_lower,Republic Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2022-10-05,26.5832861,-13.32762166750254,49.50710717316649,26.5832861,26.5832861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0086943466666665,-1.0086943466666665,-1.0086943466666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0873549727655805,-7.0873549727655805,-7.0873549727655805,-1.0086943466666665,-1.0086943466666665,-1.0086943466666665,-0.7492631404433807,-0.7492631404433807,-0.7492631404433807,-5.329397485655531,-5.329397485655531,-5.329397485655531,0.0,0.0,0.0,19.495931127234417,47.125
2022-10-06,26.61728960347063,-6.808404022651994,53.434286525332595,26.61728960347063,26.61728960347063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3175188132278772,-3.3175188132278772,-3.3175188132278772,0.0,0.0,0.0,1.1047179600003638,1.1047179600003638,1.1047179600003638,-4.422236773228241,-4.422236773228241,-4.422236773228241,0.0,0.0,0.0,23.299770790242754,47.06223990208078
2022-10-07,26.651293106941264,-5.846762780044204,51.6522490938097,26.651293106941264,26.651293106941264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.512139978594785,-2.512139978594785,-2.512139978594785,0.0,0.0,0.0,1.0181843503943608,1.0181843503943608,1.0181843503943608,-3.530324328989146,-3.530324328989146,-3.530324328989146,0.0,0.0,0.0,24.13915312834648,46.99947980416157
2022-10-08,26.685296610411896,-0.7466234302852784,56.940193743250454,26.685296610411896,26.685296610411896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7620622013025597,0.7620622013025597,0.7620622013025597,0.0,0.0,0.0,3.4182556327311038,3.4182556327311038,3.4182556327311038,-2.6561934314285436,-2.6561934314285436,-2.6561934314285436,0.0,0.0,0.0,27.447358811714455,46.93671970624235
2022-10-09,26.71930011388253,4.301342366274931,64.76468403294976,26.71930011388253,26.71930011388253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.544097566666666,9.544097566666666,9.544097566666666,0.0,0.0,0.0,7.579524814744274,7.579524814744274,7.579524814744274,9.544097566666666,9.544097566666666,9.544097566666666,-0.1635762974529357,-0.1635762974529357,-0.1635762974529357,-1.8009964544694559,-1.8009964544694559,-1.8009964544694559,0.0,0.0,0.0,34.2988249286268,46.87395960832313
2022-10-10,26.753303617353165,-7.861777914045179,51.68180438827478,26.753303617353165,26.753303617353165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.677443288589204,-4.677443288589204,-4.677443288589204,0.0,0.0,0.0,-3.7129972777781703,-3.7129972777781703,-3.7129972777781703,-0.9644460108110336,-0.9644460108110336,-0.9644460108110336,0.0,0.0,0.0,22.07586032876396,46.81119951040392
2022-10-11,26.787307120823797,-2.887819431303628,54.8038506124028,26.787307120823797,26.787307120823797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.060125045511262,-1.060125045511262,-1.060125045511262,0.0,0.0,0.0,-0.9153212274575205,-0.9153212274575205,-0.9153212274575205,-0.14480381805374112,-0.14480381805374112,-0.14480381805374112,0.0,0.0,0.0,25.727182075312534,46.7484394124847
2022-10-12,26.82131062429443,-3.3744860592931825,53.22312832078861,26.82131062429443,26.82131062429443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08818215183278491,-0.08818215183278491,-0.08818215183278491,0.0,0.0,0.0,-0.7492631404433241,-0.7492631404433241,-0.7492631404433241,0.6610809886105391,0.6610809886105391,0.6610809886105391,0.0,0.0,0.0,26.733128472461644,46.68567931456548
2022-10-13,26.855314127765062,2.170713901444545,59.44211088853899,26.855314127765062,26.855314127765062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56240182624933,2.56240182624933,2.56240182624933,0.0,0.0,0.0,1.104717959998464,1.104717959998464,1.104717959998464,1.457683866250866,1.457683866250866,1.457683866250866,0.0,0.0,0.0,29.417715954014394,46.62291921664627
2022-10-14,26.889317631235695,2.214575906067186,58.05232395625807,26.889317631235695,26.889317631235695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2688528454000045,3.2688528454000045,3.2688528454000045,0.0,0.0,0.0,1.0181843503926593,1.0181843503926593,1.0181843503926593,2.250668495007345,2.250668495007345,2.250668495007345,0.0,0.0,0.0,30.1581704766357,46.56015911872705
2022-10-15,26.923321134706327,3.6218600110277603,63.039101671484296,26.923321134706327,26.923321134706327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.464960480887634,6.464960480887634,6.464960480887634,0.0,0.0,0.0,3.418255632726238,3.418255632726238,3.418255632726238,3.0467048481613968,3.0467048481613968,3.0467048481613968,0.0,0.0,0.0,33.38828161559396,46.49739902080783
