horizon,mse,rmse,mae,mape,mdape,smape,coverage
9 days,518.6346685639305,22.773551953174334,15.916296499865089,0.6399299542297386,0.3647982862988398,0.4386709706544528,0.7962962962962963
10 days,512.0721307655855,22.629010821633045,15.974537072760048,0.6583372211096022,0.40429186252599464,0.4492136529943822,0.7777777777777778
11 days,449.3942553456258,21.198921089188143,15.222277162111656,0.653889382564945,0.405173413339147,0.4376383350622035,0.7777777777777778
12 days,366.0879195423298,19.13342414578033,14.671634712511244,0.4394230191407104,0.4015583605799127,0.41426940225869224,0.7962962962962963
13 days,353.61603305999694,18.804681147522736,14.975898751427668,0.44204995101742517,0.405173413339147,0.41930493948122444,0.7777777777777778
14 days,333.4086744701839,18.25948176893813,14.311536033723852,0.4270744045261921,0.4006768097667603,0.3999046449687597,0.7962962962962963
15 days,356.9526396479938,18.893190298305733,14.247103308493594,0.4554629493624996,0.4006768097667603,0.40173618663017846,0.8148148148148148
16 days,361.9206694507972,19.02421271566309,14.300718550642799,0.4660663818507918,0.4015583605799127,0.40640608170392545,0.8148148148148148
17 days,346.4848908827291,18.614104622106566,14.172969863396293,0.4672583262235225,0.4015583605799127,0.4174160336729479,0.8148148148148148
18 days,335.77139936009235,18.32406612518336,13.877876090001974,0.45755168567352206,0.3819660214708371,0.4103195345359889,0.8333333333333334
19 days,312.2573436893664,17.670804839886788,13.155518252785257,0.4251013412925308,0.33919155475648743,0.3878316650258477,0.8703703703703703
20 days,320.5251094323456,17.90321505854034,13.262210224107038,0.40960984753462143,0.3096549050412237,0.37550698728403803,0.8518518518518519
21 days,305.13699977647127,17.468171048408912,13.046320862131495,0.39448189785602267,0.286734710147135,0.36264190854672823,0.8518518518518519
22 days,295.2540188602978,17.182957221046028,12.713776175458124,0.36590850715012535,0.27235535689055107,0.344206355147007,0.8518518518518519
23 days,405.05422354159197,20.12595894713074,14.461967579812962,0.469409855652449,0.286734710147135,0.3940199403079728,0.8148148148148148
24 days,386.74246108269256,19.66576876409088,14.388463995162963,0.46789230167463414,0.2920306108653861,0.39083101146816357,0.7962962962962963
25 days,406.9769469402952,20.17366964486866,15.073220885117491,0.47254429174319845,0.3021554915885485,0.4047071327608383,0.7592592592592593
26 days,436.3974356334422,20.890127707446936,15.029812143414823,0.4539272086552206,0.286734710147135,0.38093319042837037,0.7592592592592593
27 days,450.4947212443248,21.224860924027862,15.286081012159693,0.4366587672014223,0.2694092511184627,0.36825593345661933,0.7407407407407407
28 days,483.6023206741799,21.990959976185213,16.10665077874508,0.4424298622643626,0.2832092401116928,0.3713025409632493,0.7222222222222222
29 days,468.59063399769593,21.64695438156823,15.656372529640183,0.46105900402216093,0.27423172826680187,0.3730271521479017,0.7407407407407407
30 days,457.45414456296396,21.38817768214403,15.32865988983309,0.4643197326610186,0.2556010456947761,0.36988467324015395,0.7592592592592593
31 days,575.9837331412632,23.999661104716942,16.65648555593219,0.6564821964883476,0.27423172826680187,0.4210574168458251,0.7592592592592593
32 days,499.7445700394214,22.354967457802783,15.617214456043714,0.5554786699734807,0.2541884816874182,0.3771961075851471,0.7777777777777778
33 days,476.2830702037184,21.823910515847484,15.19172670464401,0.5116219208429704,0.23596462585678568,0.3604479735240744,0.7777777777777778
34 days,451.617475818937,21.25129350931225,14.47424880233111,0.4890115090735241,0.231789795970396,0.33330514621279234,0.7962962962962963
35 days,408.00346610020074,20.19909567530687,14.044623007924814,0.4903085644268884,0.231789795970396,0.3304159531125371,0.7962962962962963
36 days,391.7656462047854,19.793070661339677,13.570657573262876,0.47975790012792524,0.22174607228191426,0.31761966003575093,0.8148148148148148
37 days,448.1072226516289,21.168543234044918,14.011097669982066,0.5233441772241252,0.2250174082111653,0.33279381768214455,0.8148148148148148
38 days,505.91118744942406,22.492469572046197,14.585854727778147,0.5026634468184886,0.2179336423201787,0.3251517655759492,0.8148148148148148
39 days,525.3846256552032,22.921270157982153,14.948682309099981,0.5070914044493952,0.2250174082111653,0.3280625973945812,0.7962962962962963
40 days,414.43648032140106,20.357713042515385,13.690758682610145,0.32831180735123494,0.22408890384723437,0.2806709019775331,0.8148148148148148
41 days,448.317204909406,21.17350242424257,14.059086451340155,0.35340423083404626,0.22963776248411957,0.2937968382839134,0.8148148148148148
42 days,648.1726166623529,25.45923440840971,16.09884029840779,0.4302204430242699,0.23820868263125844,0.33371208672692926,0.8148148148148148
43 days,912.4440889765598,30.206689473965195,18.543647899871733,0.4914553385634792,0.2877086441180934,0.37075224977025556,0.7962962962962963
44 days,1101.085316724978,33.182605634955465,21.075575509853483,0.594267165991292,0.3673105934565057,0.42625408968197365,0.7592592592592593
45 days,1119.985116016782,33.46617868859219,21.314494036206074,0.6265639224014234,0.43385690470962884,0.44884860803890125,0.7407407407407407
