ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ashura,Ashura_lower,Ashura_upper,Buddha Purnima,Buddha Purnima_lower,Buddha Purnima_upper,Christmas,Christmas_lower,Christmas_upper,Diwali,Diwali_lower,Diwali_upper,Dussehra,Dussehra_lower,Dussehra_upper,Eid al-Adha,Eid al-Adha_lower,Eid al-Adha_upper,Eid al-Fitr,Eid al-Fitr_lower,Eid al-Fitr_upper,Gandhi Jayanti,Gandhi Jayanti_lower,Gandhi Jayanti_upper,Good Friday,Good Friday_lower,Good Friday_upper,Guru Nanak Jayanti,Guru Nanak Jayanti_lower,Guru Nanak Jayanti_upper,Independence Day,Independence Day_lower,Independence Day_upper,Janmashtami,Janmashtami_lower,Janmashtami_upper,Maha Shivaratri,Maha Shivaratri_lower,Maha Shivaratri_upper,Mahavir Jayanti,Mahavir Jayanti_lower,Mahavir Jayanti_upper,Prophet's Birthday,Prophet's Birthday_lower,Prophet's Birthday_upper,Republic Day,Republic Day_lower,Republic Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2020-01-02,42.8697672125,58.38882144570418,122.97309545736725,42.8697672125,42.8697672125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8280014957542,47.8280014957542,47.8280014957542,0.0,0.0,0.0,1.031738574374573,1.031738574374573,1.031738574374573,46.796262921379615,46.796262921379615,46.796262921379615,0.0,0.0,0.0,90.6977687082542,101.0
2020-01-03,42.87533502656167,57.12749768305324,121.17348671733554,42.87533502656167,42.87533502656167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.69658789221912,46.69658789221912,46.69658789221912,0.0,0.0,0.0,0.27125163745941955,0.27125163745941955,0.27125163745941955,46.4253362547597,46.4253362547597,46.4253362547597,0.0,0.0,0.0,89.57192291878079,102.95833333333331
2020-01-04,42.88090284062334,60.85948762698063,123.36028514342891,42.88090284062334,42.88090284062334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.038224852074514,47.038224852074514,47.038224852074514,0.0,0.0,0.0,1.0823149234838936,1.0823149234838936,1.0823149234838936,45.95590992859062,45.95590992859062,45.95590992859062,0.0,0.0,0.0,89.91912769269786,92.91666666666669
2020-01-05,42.88647065468501,54.53784308902613,117.73462889543482,42.88647065468501,42.88647065468501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.540247533745905,44.540247533745905,44.540247533745905,0.0,0.0,0.0,-0.8641764346866777,-0.8641764346866777,-0.8641764346866777,45.40442396843258,45.40442396843258,45.40442396843258,0.0,0.0,0.0,87.42671818843093,89.75
2020-01-06,42.89203846874668,53.94110456114749,118.53983646693486,42.89203846874668,42.89203846874668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.29227806880391,43.29227806880391,43.29227806880391,0.0,0.0,0.0,-1.4960615184611645,-1.4960615184611645,-1.4960615184611645,44.788339587265064,44.788339587265064,44.788339587265064,0.0,0.0,0.0,86.18431653755059,81.29166666666667
2020-01-07,42.89760628280835,55.63138505818148,117.74145379192703,42.89760628280835,42.89760628280835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.780965229720834,44.780965229720834,44.780965229720834,0.0,0.0,0.0,0.6553322304917092,0.6553322304917092,0.6553322304917092,44.12563299922912,44.12563299922912,44.12563299922912,0.0,0.0,0.0,87.67857151252917,63.333333333333336
2020-01-08,42.90317409687002,55.113334114119496,115.89067411273331,42.90317409687002,42.90317409687002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.75389020078706,42.75389020078706,42.75389020078706,0.0,0.0,0.0,-0.6803994126585227,-0.6803994126585227,-0.6803994126585227,43.434289613445586,43.434289613445586,43.434289613445586,0.0,0.0,0.0,85.65706429765709,75.95833333333334
2020-01-09,42.90874191093169,53.61311727457467,118.04332737202465,42.90874191093169,42.90874191093169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.763551256423376,43.763551256423376,43.763551256423376,0.0,0.0,0.0,1.0317385743746086,1.0317385743746086,1.0317385743746086,42.73181268204876,42.73181268204876,42.73181268204876,0.0,0.0,0.0,86.67229316735506,66.97916666666667
2020-01-10,42.91430972499336,54.43876464214332,118.38039402890276,42.91430972499336,42.91430972499336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3060114822653,42.3060114822653,42.3060114822653,0.0,0.0,0.0,0.2712516374541492,0.2712516374541492,0.2712516374541492,42.03475984481115,42.03475984481115,42.03475984481115,0.0,0.0,0.0,85.22032120725865,58.0
2020-01-11,42.91987753905503,52.36277677301538,116.45967701659065,42.91987753905503,42.91987753905503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.44063493002125,42.44063493002125,42.44063493002125,0.0,0.0,0.0,1.0823149234874454,1.0823149234874454,1.0823149234874454,41.358320006533795,41.358320006533795,41.358320006533795,0.0,0.0,0.0,85.36051246907627,64.58333333333333
